Env	clone	rep	grad	dap	pil
E1	C001	1	14.09	12.8	15
E1	C001	2	14.09	12.2	15
E1	C001	3	14.09	11.2	15
E1	C001	4	14.09	13.1	9
E1	C001	5	14.09	13.6	13
E1	C001	6	14.09	NA	NA
E1	C001	7	14.09	14.3	14
E1	C001	8	14.09	13.8	15
E1	C001	9	14.09	NA	NA
E1	C001	10	14.09	9.5	15
E1	C001	11	14.09	11.4	12
E1	C001	12	14.09	NA	NA
E1	C001	13	14.09	13.7	13
E1	C001	14	14.09	15.9	8
E1	C001	15	14.09	NA	NA
E1	C001	16	14.09	14.5	11
E1	C001	17	14.09	15.9	10
E1	C001	18	14.09	10.3	13
E1	C001	19	14.09	8.9	13
E1	C001	20	14.09	11.2	14
E1	C001	21	14.09	16.1	11
E1	C001	22	14.09	12.7	13
E1	C001	23	14.09	12.3	11
E1	C001	24	14.09	11.9	16
E1	C001	25	14.09	12.9	11
E1	C001	26	14.09	12.5	15
E1	C001	27	14.09	11.8	14
E1	C001	28	14.09	16	12
E1	C001	29	14.09	NA	NA
E1	C001	30	14.09	9.7	12
E1	C002	1	14.09	17.2	18
E1	C002	2	14.09	15.6	18
E1	C002	3	14.09	15.5	14
E1	C002	4	14.09	NA	NA
E1	C002	5	14.09	15.3	19
E1	C002	6	14.09	14.3	18
E1	C002	7	14.09	14.5	17
E1	C002	8	14.09	16	14
E1	C002	9	14.09	14.8	17
E1	C002	10	14.09	15.9	17
E1	C002	11	14.09	16.4	13
E1	C002	12	14.09	16	13
E1	C002	13	14.09	18.1	15
E1	C002	14	14.09	11.7	13
E1	C002	15	14.09	13.9	15
E1	C002	16	14.09	15	14
E1	C002	17	14.09	15.6	14
E1	C002	18	14.09	NA	NA
E1	C002	19	14.09	15.3	17
E1	C002	20	14.09	17.2	14
E1	C002	21	14.09	14.6	17
E1	C002	22	14.09	13.4	18
E1	C002	23	14.09	16.2	17
E1	C002	24	14.09	16.9	19
E1	C002	25	14.09	14.5	19
E1	C002	26	14.09	17.3	17
E1	C002	27	14.09	16.2	18
E1	C002	28	14.09	18	16
E1	C002	29	14.09	16.6	19
E1	C002	30	14.09	16	18
E1	C003	1	14.09	12.9	15
E1	C003	2	14.09	13.2	13
E1	C003	3	14.09	13.3	14
E1	C003	4	14.09	14	17
E1	C003	5	14.09	15.4	15
E1	C003	6	14.09	16.2	13
E1	C003	7	14.09	13.7	16
E1	C003	8	14.09	16.8	15
E1	C003	9	14.09	NA	NA
E1	C003	10	14.09	15.1	15
E1	C003	11	14.09	9.5	13
E1	C003	12	14.09	NA	NA
E1	C003	13	14.09	16.5	12
E1	C003	14	14.09	15.7	10
E1	C003	15	14.09	15.3	12
E1	C003	16	14.09	15.5	12
E1	C003	17	14.09	14.3	14
E1	C003	18	14.09	14.5	14
E1	C003	19	14.09	NA	NA
E1	C003	20	14.09	NA	NA
E1	C003	21	14.09	NA	NA
E1	C003	22	14.09	15.9	13
E1	C003	23	14.09	14	17
E1	C003	24	14.09	NA	NA
E1	C003	25	14.09	NA	NA
E1	C003	26	14.09	14.6	15
E1	C003	27	14.09	15	16
E1	C003	28	14.09	15.5	12
E1	C003	29	14.09	16.6	14
E1	C003	30	14.09	16.6	15
E1	C004	1	14.09	15.2	17
E1	C004	2	14.09	13.2	16
E1	C004	3	14.09	11.3	13
E1	C004	4	14.09	14.6	14
E1	C004	5	14.09	NA	NA
E1	C004	6	14.09	13.8	13
E1	C004	7	14.09	7	14
E1	C004	8	14.09	15.4	14
E1	C004	9	14.09	14.3	14
E1	C004	10	14.09	12.1	15
E1	C004	11	14.09	NA	NA
E1	C004	12	14.09	NA	NA
E1	C004	13	14.09	NA	NA
E1	C004	14	14.09	16	9
E1	C004	15	14.09	NA	NA
E1	C004	16	14.09	14	15
E1	C004	17	14.09	15.4	12
E1	C004	18	14.09	NA	NA
E1	C004	19	14.09	NA	NA
E1	C004	20	14.09	15	13
E1	C004	21	14.09	17	13
E1	C004	22	14.09	15.4	14
E1	C004	23	14.09	NA	NA
E1	C004	24	14.09	16.1	14
E1	C004	25	14.09	4.6	17
E1	C004	26	14.09	NA	NA
E1	C004	27	14.09	15.7	14
E1	C004	28	14.09	15.8	12
E1	C004	29	14.09	11.8	16
E1	C004	30	14.09	NA	NA
E1	C005	1	14.09	10.9	18
E1	C005	2	14.09	17.3	17
E1	C005	3	14.09	NA	NA
E1	C005	4	14.09	NA	NA
E1	C005	5	14.09	13.7	15
